cardiac muscle cell,4244
cardiac septum,2012
cardiac ventricle fibroblast,1924
caudate nucleus,2232
cell of skeletal muscle,88
"central memory CD4-positive, alpha-beta T cell",44
"central memory CD8-positive, alpha-beta T cell",88
central nervous system pericyte,88
cerebellar cortex,44
cerebellar hemisphere,1924
cerebellum,5948
cerebrospinal fluid,88
chondrocyte,2100
chorion,2144
chorionic villus,1968
choroid plexus epithelial cell,132
cingulate gyrus,220
colon,88
colonic mucosa,2320
"common myeloid progenitor, CD34-positive",2232
corneal epithelial cell,88
coronary artery,2100
corpus callosum,88
cortex of kidney,1924
cranial nerve II,88
cruciate ligament of knee,88
dark melanocyte,88
dermis blood vessel endothelial cell,1968
dermis lymphatic vessel endothelial cell,1924
dermis microvascular lymphatic vessel endothelial cell,1968
diaphragm,88
diencephalon,2012
dorsal plus ventral thalamus,88
dorsolateral prefrontal cortex,4200
duodenal mucosa,308
duodenum,88
dura mater,88
ecto neural progenitor cell,44
ectocervix,1924
ectodermal cell,2100
"effector CD4-positive, alpha-beta T cell",44
"effector memory CD4-positive, alpha-beta T cell",176
"effector memory CD8-positive, alpha-beta T cell",88
egg chorion,88
embryonic uterus,88
endocervix,1924
endocrine pancreas,2144
endodermal cell,4200
endothelial cell,2012
endothelial cell of artery,88
endothelial cell of coronary artery,1924
endothelial cell of lymphatic vessel,88
endothelial cell of umbilical vein,6560
enteric smooth muscle cell,88
eosinophil,88
epidermal melanocyte,44
epididymis,88
epithelial cell of Malassez,176
epithelial cell of alveolus of lung,1924
epithelial cell of esophagus,176
epithelial cell of prostate,220
epithelial cell of proximal tubule,2144
epithelial cell of umbilical artery,1924
erythroblast,44
esophagus,2232
esophagus mucosa,1968
esophagus muscularis mucosa,4244
esophagus squamous epithelium,4200
eye,44
fallopian tube,1968
fat cell,88
female gonad,88
femur,44
fibroblast derived cell line,1924
fibroblast of breast,176
fibroblast of choroid plexus,88
fibroblast of dermis,2408
fibroblast of gingiva,132
fibroblast of lung,6032
fibroblast of lymphatic vessel,88
fibroblast of mammary gland,220
fibroblast of peridontal ligament,44
fibroblast of periodontium,88
fibroblast of pulmonary artery,220
fibroblast of skin of abdomen,1968
fibroblast of skin of back,1968
fibroblast of skin of left biceps,44
fibroblast of skin of left quadriceps,44
fibroblast of skin of right biceps,44
fibroblast of skin of right quadriceps,44
fibroblast of skin of scalp,1968
fibroblast of the aortic adventitia,2144
fibroblast of the conjuctiva,88
fibroblast of the conjunctiva,44
fibroblast of upper back skin,44
fibroblast of villous mesenchyme,2144
forelimb muscle,1968
foreskin fibroblast,2276
foreskin keratinocyte,4288
foreskin melanocyte,2276
frontal cortex,3980
fungiform papilla,88
gallbladder,88
gamma-delta T cell,88
gastrocnemius medialis,4244
gastroesophageal sphincter,4332
germinal matrix,220
gingival epithelial cell,88
globus pallidus,132
glomerular endothelial cell,2012
glomerular visceral epithelial cell,44
glutamatergic neuron,2188
hair follicle dermal papilla cell,1924
hair follicular keratinocyte,1924
head of caudate nucleus,44
heart,5900
heart left ventricle,4376
heart right ventricle,4244
hematopoietic multipotent progenitor cell,1968
hepatic mesenchymal stem cell,88
hepatic stellate cell,44
hepatocyte,4332
hindlimb muscle,1968
hypothalamus,1924
iPS DF 19.11,176
iPS DF 6.9,132
iPS-11a,44
iPS-15b,220
iPS-18a,264
iPS-18c,88
iPS-20b,308
iPS-NIHi11,44
immature CD1a-positive Langerhans cell,88
immature conventional dendritic cell,176
immature natural killer cell,1968
inferior rectus extraocular muscle,88
inflammatory macrophage,44
insula,88
intestinal epithelial cell,88
iris pigment epithelial cell,132
islet precursor cell,44
keratinocyte,4240
keratocyte,88
kidney,5988
kidney capillary endothelial cell,44
kidney epithelial cell,2100
kidney tubule cell,44
large intestine,2052
lateral rectus extra-ocular muscle,88
layer of hippocampus,220
left cardiac atrium,2100
left colon,2012
left forelimb,44
left hindlimb,44
left kidney,1968
left lobe of liver,2012
left lung,4244
left ovary,88
left renal cortex interstitium,1968
left renal pelvis,1968
left ventricle myocardium,1924
left ventricle myocardium inferior,2276
left ventricle myocardium superior,2012
lens epithelial cell,88
leptomeningeal cell,88
light melanocyte,88
liver,6824
locus ceruleus,88
lower leg skin,3980
lower lobe of left lung,2320
lower lobe of right lung,2364
luminal epithelial cell of mammary gland,2100
lung,4332
lung fibroblast,88
lung microvascular endothelial cell,1968
lymph node,88
lymphoblast,1924
macrophage,88
mammary epithelial cell,4420
mammary gland epithelial cell,88
mammary microvascular endothelial cell,1924
mammary stem cell,1924
mast cell,88
medial rectus extraocular muscle,88
medulla oblongata,88
melanocyte of skin,1924
memory B cell,88
meninx,88
mesangial cell,2012
mesenchymal cell,88
mesenchymal stem cell,2584
mesenchymal stem cell of Wharton's jelly,2012
mesenchymal stem cell of adipose,2012
mesenchymal stem cell of the bone marrow,2012
mesenchymal stem cell of umbilical cord,88
mesendoderm,2276
mesenteric fat pad,2012
mesodermal cell,2144
mesothelial cell,176
mesothelial cell of epicardium,2012
metanephros,1924
middle frontal gyrus,88
middle temporal gyrus,88
mitral valve,88
mole,1744
monocyte,88
mononuclear cell,2056
motor neuron,2100
mouth mucosa,88
mucosa of descending colon,2188
mucosa of gallbladder,2012
mucosa of rectum,220
mucosa of stomach,176
mucosa of urinary bladder,44
muscle layer of colon,220
muscle layer of duodenum,220
muscle of arm,1968
muscle of back,1968
muscle of leg,3976
muscle of trunk,2232
myelocyte,88
myocyte,3892
myoepithelial cell of mammary gland,2188
myometrial cell,1924
myotube,2452
nail plate,88
naive B cell,2012
naive regulatory T cell,176
"naive thymus-derived CD4-positive, alpha-beta T cell",4200
"naive thymus-derived CD8-positive, alpha-beta T cell",3936
nan,30
nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa,1924
natural killer cell,4288
nephron,44
nephron progenitor cell,88
nephron tubule epithelial cell,88
neural cell,2320
neural crest cell,2012
neural progenitor cell,2496
neuron,308
neuronal stem cell,2540
neurosphere,2188
neutrophil,484
non-pigmented ciliary epithelial cell,132
nucleus accumbens,2012
nucleus pulposus cell of intervertebral disc,88
occipital lobe,2012
occipital pole,88
olfactory epithelial cell,176
olfactory region,88
oligodendrocyte precursor cell,88
omental fat pad,3980
omentum preadipocyte,88
osteoblast,2452
osteocyte,1968
outer medulla of kidney,1924
outer root sheath cell,88
ovary,7956
pancreas,4288
paracentral gyrus,88
parathyroid adenoma,308
parietal lobe,2012
parotid gland,88
penis,88
pericardium fibroblast,1924
perineural cell,88
peripheral blood mononuclear cell,2232
perirenal adipocyte cell,88
perirenal preadipocyte,88
pineal body,88
pituitary gland,2012
placenta,4288
placental basal plate,1968
placental epithelial cell,2012
placental pericyte,1924
plasmacytoid dendritic cell,176
pneumocyte,88
pons,132
postcentral gyrus,88
posterior cingulate gyrus,44
posterior vena cava,2012
preadipocyte of the breast,88
progenitor cell of endocrine pancreas,2012
prostate gland,4244
prostate stromal cell,88
psoas muscle,4200
pulmonary artery endothelial cell,1968
pulmonary valve,88
putamen,2056
rectal smooth muscle tissue,176
rectum,88
regular cardiac myocyte,1924
renal cortex interstitium,1968
renal cortical epithelial cell,2056
renal pelvis,1968
respiratory epithelial cell,88
respiratory system smooth muscle,88
reticulocyte,88
retina,132
retinal pigment epithelial cell,220
right atrium auricular region,4156
right cardiac atrium,4068
right forelimb,44
right hindlimb,44
right kidney,44
right lobe of liver,4200
right lung,1968
right ovary,88
right renal cortex interstitium,1968
right renal pelvis,1968
saliva-secreting gland,88
sciatic nerve,2012
seminal vesicle,88
sigmoid colon,6256
skeletal muscle cell,88
skeletal muscle myoblast,6076
skeletal muscle satellite cell,2276
skeletal muscle tissue,2276
skin epidermis,88
skin fibroblast,110
skin of body,1924
skin of palm of manus,88
small intestine,4064
smooth muscle cell,4244
smooth muscle cell of bladder,2012
smooth muscle cell of colon,88
smooth muscle cell of prostate,88
smooth muscle cell of the brachiocephalic vasculature,88
smooth muscle cell of the brain vasculature,132
smooth muscle cell of the carotid artery,88
smooth muscle cell of the coronary artery,2012
smooth muscle cell of the esophagus,88
smooth muscle cell of the internal thoracic artery,88
smooth muscle cell of the pulmonary artery,2012
smooth muscle cell of the subclavian artery,88
smooth muscle cell of the umbilical artery,2012
smooth muscle cell of the umbilical vein,88
smooth muscle cell of trachea,2012
smooth muscle tissue,88
soleus muscle,88
spinal cord,5944
spleen,8088
stem cell of epidermis,88
stomach,8088
stomach smooth muscle,264
stromal cell of bone marrow,44
stromal cell of pancreas,88
subcutaneous abdominal adipose tissue,308
subcutaneous adipose tissue,3892
subcutaneous fat cell,88
subcutaneous preadipocyte,2012
submandibular gland,88
substantia nigra,2232
superior rectus extraocular muscle,88
suppressor macrophage,44
suprapubic skin,4244
synovial cell,88
temporal lobe,2232
tendon cell,88
testis,7824
thoracic aorta,2188
thoracic aorta endothelial cell,2012
throat,88
thymus,4064
thyroid gland,4288
tibial artery,2320
tibial nerve,4288
tongue,2056
tonsil,88
trabecular meshwork cell,88
trachea,88
tracheal epithelial cell,2012
transverse colon,4332
tricuspid valve,88
trophoblast,2056
trophoblast cell,2584
type B pancreatic cell,1968
umbilical cord,2056
umbilical cord blood,88
upper lobe of left lung,4288
upper lobe of right lung,2232
ureter,2012
urethra,88
urinary bladder,5948
urothelial cell,88
urothelium cell line,44
uterine cervix,88
uterine smooth muscle cell,2012
uterus,4200
vagina,4244
vas deferens,88
vein,88
vein endothelial cell,2012
venous blood,1924
vermiform appendix,88
vertebral mesenchymal stem cell,88
visceral preadipocyte,88
vitreous humor,88
zone of skin,88
